,Hoja1 * s_GENERA,Hoja1 * s_B_C_D,Hoja1 * s_B,Hoja1 * s_C,Hoja1 * s_D,Hoja1 * s_E,Hoja1 * s_08,Hoja1 * s_10,Hoja1 * s_11,Hoja1 * s_13,Hoja1 * s_14,Hoja1 * s_15,Hoja1 * s_16,Hoja1 * s_17,Hoja1 * s_18,Hoja1 * s_19,Hoja1 * s_20,Hoja1 * s_21,Hoja1 * s_22,Hoja1 * s_23,Hoja1 * s_24,Hoja1 * s_25,Hoja1 * s_26,Hoja1 * s_27,Hoja1 * s_28,Hoja1 * s_29,Hoja1 * s_30,Hoja1 * s_31,Hoja1 * s_32,Hoja1 * s_35,Hoja1 * s_33,Hoja1 * s_36,Hoja1 * s_CD,Hoja1 * s_CN,Hoja1 * s_EN,Hoja1 * s_EQ,Hoja1 * s_IN,Hoja1 * s_XC,Hoja1 * s_EN_X_E,Hoja1 * s_051,Hoja1 * s_061,Hoja1 * s_072,Hoja1 * s_081
1992-01-31,101.229862474,101.70410379,323.253712592,101.848692188,85.722588923,,156.0078191,79.789609478,68.451577356,226.023328314,373.318358761,314.641040247,212.920151526,65.838939616,89.135392954,83.271434395,70.027971528,38.508810536,69.367035464,165.826204668,80.438859151,138.208364967,162.193513045,95.848989586,81.42679719,69.634869127,308.994503792,260.896406735,83.7735036,85.722588923,,,216.885729831,88.703458796,89.734219125,109.250441214,105.240248617,98.120271512,92.286033009,580.647830449,460.817567096,3162.88493522,158.074647664
1992-02-29,101.990989259,102.4687963,321.226135542,104.021123515,77.888931972,,150.81666575,74.977208424,66.784736998,230.115672698,423.377878095,333.207326173,229.688992475,67.8868071,88.488312061,78.014162325,73.451126561,41.655178715,70.428775803,174.915937369,78.825116607,137.878905217,195.098367762,96.892446704,85.878909843,70.183175183,318.100138928,281.160205316,86.124290691,77.888931972,,,233.91492563,89.55128158,82.756102449,114.258302211,106.810998596,99.973783135,85.109476371,631.314397893,434.0035182,3484.9493145,167.935054535
1992-03-31,105.162350865,105.65501509,341.212252181,107.854825856,76.098381811,,166.116907202,74.303472277,75.341184168,233.893221361,428.444631064,334.850360325,217.994932339,72.084935443,97.547444558,89.091985615,78.830370184,40.013595317,73.378054521,182.531659361,85.528354869,142.656071587,197.429128305,94.35833656,91.15114851,73.582672731,321.981229314,285.719559997,90.077887161,76.098381811,,,244.085139788,91.564860692,84.173532399,118.211876682,110.952066723,102.522361615,86.567214438,655.078363155,455.767706429,3393.920365518,187.964005994
1992-04-30,99.200191046,99.664923764,342.081213774,101.848692188,68.824271785,,162.291846839,71.608527686,68.562700047,235.46719997,347.984593915,298.046395304,226.15871017,67.8868071,102.238781029,82.520395528,74.037953138,41.655178715,65.591958704,170.985242147,80.438859151,139.032014341,175.21835137,87.352267337,83.301370939,67.331983691,315.711775613,277.1074456,87.620246112,68.824271785,,,233.678409022,86.477923987,77.304448796,111.754371713,105.097453164,97.077671224,79.502791498,693.638759617,437.702007703,3662.802070799,186.115179705
1992-05-31,101.229862474,101.70410379,352.798406754,104.915654061,65.019352695,,171.854497747,73.918480192,77.674760669,235.152404248,337.243077621,260.420913207,227.923851323,69.729887836,100.297538351,88.059307173,77.363303741,38.645609153,68.423266274,178.355295688,86.521427204,139.69093384,179.879872455,89.886377481,88.925092183,71.828093351,320.637774949,279.893717905,95.527439054,65.019352695,,,250.234571604,87.855636012,75.668952701,114.126516395,108.667339481,99.394560753,77.820786036,692.293629508,446.308108277,3756.675674437,193.510484859
1992-06-30,103.766951759,104.253078822,348.163944925,108.110406012,62.221618069,,158.466786476,75.650944572,89.898256625,226.338124035,364.603543654,278.822895717,219.318788204,71.265788449,101.915240583,83.271434395,77.754521459,42.202373181,72.55225648,180.074974847,84.783550618,145.785939208,212.373416489,97.637773217,92.205596243,74.240639998,330.191228207,285.972857479,93.39035988,62.221618069,,,256.620520029,92.200727781,72.506993582,119.529734839,110.523680365,104.028339809,74.56890881,740.718313437,385.28303148,3901.876742515,186.731455135
1992-07-31,105.416059794,105.909912593,338.315713538,109.004936558,69.38381871,,159.559660866,75.747192593,95.009900389,232.319242751,411.01500085,309.219027543,220.20135878,68.705954094,99.165146789,84.867391988,78.047934748,46.579928908,72.080371885,180.320643299,76.838971936,150.233645828,211.002380876,95.103663073,96.189065458,71.170126084,327.056501356,301.424003897,94.886315302,69.38381871,,,266.081184362,95.274085373,78.176713381,120.979378812,108.667339481,107.503674101,80.399861078,681.084211932,433.64789421,3485.691398323,183.650077987
1992-08-31,59.36788927,59.646015756,283.860787044,57.377745035,61.550161759,,143.439763621,65.544902358,83.453140575,46.117573256,208.750222325,128.649574158,65.972150576,45.667444897,56.943118548,84.11635312,53.79243623,9.165507303,24.184085493,124.799573291,41.957306162,61.27951343,79.657169128,28.620538103,21.440437246,16.12019805,232.268332319,88.654118793,43.48956118,61.550161759,,,65.751617113,61.361174006,70.980530559,47.970036914,56.404203804,62.556017257,72.999037046,526.39424938,422.054552114,3402.20696821,147.906103077
1992-09-30,99.707608903,100.17471877,364.674215192,102.743222735,66.362265315,,183.05646024,75.650944572,77.563637978,203.200638477,438.375466883,296.567664567,195.930667933,65.838939616,92.370797417,91.063462642,74.233561997,37.072425063,69.485006613,161.649840995,80.935395319,137.549445467,205.655341984,90.631703994,75.10011079,68.428595803,325.414501578,272.041495954,87.940807988,66.362265315,,,234.151442238,89.975192972,77.522514943,111.359014266,103.669498637,100.553005517,79.727058893,748.340717389,412.239329972,4229.259389194,185.190766561
1992-10-31,101.610425866,102.086450045,343.529483096,104.787863983,67.928996705,,162.838284034,78.730881247,74.452202644,216.894252379,383.451864699,291.802865524,207.845370712,69.013134217,101.591700136,104.58216225,76.580868305,42.749567647,69.013122018,167.545883828,79.569920858,142.985531336,203.18747788,93.613010047,73.928502197,65.687065523,308.845231085,278.373933011,97.130248434,67.928996705,,,241.01042388,92.094749933,81.665771719,109.38222703,105.95422588,102.985739521,83.988139397,754.617991232,401.997359041,3248.224574891,164.237401958
