,IPI_GEN,IPI_EQ,IPI_INT,IPI_CNSNA,IPI_ALIM,IPI_ENER,IPI_AUTOMOV,IPI_MANUFAC,IPI_CNSD,IPI_NODURADERO,IPI_NOENERGIA,IPI_METALICOS,IPI_TRANSPORTE
Jan-00,119.624,127.437,132.086,134.441,85.55,106.961,107.111,119.612,236.753,97.394,123.15,215.943,116.354
Feb-00,126.347,149.709,141.653,151.057,80.232,95.949,129.532,129.707,279.326,99.513,134.811,235.842,135.07
Mar-00,137.51,163.151,155.076,168.822,89.44,96.385,143.003,141.975,310.31,111.171,148.96,259.917,148.267
Apr-00,115.818,131.127,132.514,131.192,80.828,87.772,112.952,118.845,235.571,93.261,123.627,224.295,117.288
May-00,134.339,162.097,154.79,153.77,90.703,90.497,144.793,139.419,302.978,105.236,146.546,253.776,143.149
Jun-00,133.958,162.624,152.22,153.886,93.151,90.716,141.496,138.908,298.247,107.038,145.998,252.056,141.936
Jul-00,129.645,152.344,142.795,151.054,95.928,94.968,126.517,133.157,290.915,107.673,139.3,245.668,124.789
Aug-00,87.783,69.188,95.673,86.569,87.781,91.479,35.986,85.747,132.449,82.875,86.754,187.199,63.643
Sep-00,126.22,145.228,141.796,151.321,87.648,91.915,117.002,129.835,258.513,105.342,135.772,243.212,133.191
Oct-00,127.996,147.995,143.938,150.857,90.365,92.46,121.242,132.007,279.09,105.236,137.89,243.457,137.149
Nov-00,134.593,159.065,147.222,160.617,97.103,98.348,135.843,138.652,297.301,112.548,144.685,249.845,148.987
Dec-00,113.408,129.15,123.375,129.095,78.964,97.039,97.408,114.628,231.313,91.565,117.966,211.275,110.592
Jan-01,125.332,143.383,138.94,142.041,84.328,105.544,132.925,126.384,243.849,99.937,130.842,235.105,142.888
Feb-01,122.034,145.36,134.513,145.137,81.757,92.678,123.196,124.723,250.708,99.407,130.208,224.787,139.755
Mar-01,132.563,157.089,147.079,157.6,91.763,96.821,134.683,136.224,278.144,109.369,142.515,255.25,149.081
Apr-01,115.438,132.708,131.657,127.028,84.287,85.155,105.848,118.717,219.487,94.32,123.87,231.174,123.689
May-01,133.07,158.538,150.221,152.585,94.657,93.114,139.958,137.374,282.637,108.309,144.195,262.865,148.349
Jun-01,130.66,157.22,146.223,144.145,96.154,93.768,130.346,134.307,272.467,105.766,140.932,258.935,144.103
Jul-01,129.138,149.709,142.367,143.31,99.392,97.912,118.507,131.879,272.94,107.25,137.832,253.039,132.567
Aug-01,90.574,76.436,97.244,84.691,91.885,95.077,39.502,88.175,135.051,84.146,89.32,191.867,60.086
Sep-01,122.541,138.639,138.226,142.333,86.206,93.332,101.862,125.362,257.567,100.255,130.674,242.966,125.344
Oct-01,131.802,148.259,148.65,156.904,94.674,95.949,99.049,135.585,299.43,109.263,141.785,260.9,133.946
Nov-01,128.123,137.848,141.082,154.03,98.333,99.438,108.544,130.474,299.667,109.899,136.11,250.827,127.296
Dec-01,108.461,112.809,112.523,123.291,84.846,105.762,67.283,106.96,228.239,92.307,109.212,202.676,90.552
Jan-02,122.541,127.173,135.227,145.486,84.435,110.341,115.225,122.04,251.417,101.103,125.938,229.454,122.941
Feb-02,120.512,132.181,135.37,146.216,83.193,93.441,116.866,122.551,251.181,100.785,128.049,231.665,124.897
Mar-02,118.228,125.46,134.371,138.685,82.238,96.385,105.261,119.739,226.11,98.241,124.31,235.596,116.958
Apr-02,128.25,141.802,145.937,148.441,95.553,94.205,116.045,131.752,258.276,108.415,137.729,245.423,131.827
May-02,130.28,143.91,149.364,149.516,98.478,92.787,125.188,134.435,271.994,109.793,140.719,255.495,135.049
Jun-02,123.683,135.739,139.654,138.301,92.737,97.148,114.99,126.129,241.247,103.116,131.071,241.246,128.71
